date,kathas,venue_and_time,district,state,country,artists,organiser,updated_by,source_file
30-12-07,Nalacharitham 4,"Karthikathirunl theatre, Theerthapathamandapam. Fort, Trivandrum 6.30 p.m.",Trivandrum,Kerala,India,"Kal. Rajaselkharan-Damayanthi,Kal. Mukundan-Kesini, Kal.Balasubramanian-Bahukan,Kalanilayam Unnikrishnan/Rajeevan-Pattu, Narayanan Varanasii-Chenda,Margi Ratnakarn-Maddalam Radhakrishnan Kanjingad","Drishyavedi, TVM Phone 09495242964",Radhakrishnan Kanjingad,archive2007.asp
30-12-07,Prahalada Charitham,"Puthiyadam Srikrishna swami temple, Kayamkulam - 9PM",Alappuzha,Kerala,India,"Kalanilayam Gopi(Hiranya Kashipu), Kala. Krishnaprasad(Narasimham), Kalanilayam Gopakumar (Shakuni), Prahaladan(Kalanilayam Vinod, Pattu - Kalanilayam Rajeev, Kala. Sudhish.","Puthiyadam Kshetra committee, Kayamkulam",Kalanilayam Gopakumar,archive2007.asp
29-12-07,Nalacharitham 3,"Karthikathirunl theatre, Theerthapathamandapam. Fort, Trivandrum 6.30 p.m.",Trivandrum,Kerala,India,"Kala.Mukundan-Purappad, Kal. Ratheesan-Nalan, Margi Murali-Karkodakan, Sadanam Krishnankutty-Bahukan, Kottackal Ravikumar-Rithuparnan, Margi Harivatsan-Damayanthi, Inchakkat-Sudevan, Subramaniam/Krish","Drishyavedi, TVM Phone 09495242964",Radhakrishnan Kanjingad,archive2007.asp
28-12-07,DURYODHANA VADHAM,Cherai (Near Beach),Ernakulam,Kerala,India,"FACT Padmanabhan(Roudra Bhiman), Kala Sankaranarayanan(Duryodhanan), Kala. Raju(Dussasanan), FACT Biju(Krishnan), Pattu - Kala. Rajesh Babu, Kala. Vasudevan, Chenda - Gopikrshnan Thampuran,Kala. Sukum",,Gopikrishnan,archive2007.asp
28-12-07,Nalacharitham (Alasathavilasitham muthal),"Karthikathirunl theatre/Theertha pada Mandapam, Fort, Trivandrum 6.30 p.m.",Trivandrum,Kerala,India,"Kala. Vijayakumar- Damayanthi,Ramachanran Unnithan-Kattalan,Kal. Rajeevan-Sarthavahakan,Haripriya Nampudiri-Rajamatha,Margi Balasubramanian-Sudevan, Margi Ravindran-Bheemaraja, Kal. Babu/Vinod, Margi ","Drishyavedi, TVM , 09495242964 Phone",Radhakrishnan Kanjingad,archive2007.asp
27-12-07,Nalacharitham (Up To Separation),"Karthika Thirrunal Theatre, Fort,TVM",TVM,Kerala,India,"Gopi, Margi Vijayakumar, Margi Sukumaran_Indran, Nelliyodu-Kali,Margi Suresh-Dwaparan, Ettumanoor Kannan-Pushkaran, Kal.Subramaniam-Harish- Pattu, Krihnadas, Sreekanth-Chenda, Kottackal Radhakrishnan,","Drishyavedi, TVM -Ph.0471-2461554, 9495242964",Radhakrishnan Kanjingad,archive2007.asp
27-12-07,"Lavanasura Vadham, Balivijayam",Guruvayur Melpattur Auditorium,Thrissur,Kerala,India,"Geetha(Sita),Sr Hari,Laxmi(Kushan), Aishwarya(Lavan), Jayanthi(Hanuman), K.R.Rajeev(Ravanan),Vinod warrier(Naradan) ,Kalnilayam Gopakumar, Sri Rag(Brahman),Vinod Kumar(Bali). Pattu - Narayanan Embrant",Guruvayur Temple -Sponsored Kali,kalanilayam gopakumar,archive2007.asp
26-12-07,Nalacharitha Mela (repeated but ok - admin),Karthika thirunal theatre/Theerthapada mandapam 6 PM (26-30 Dec),Thiruvananthapuram,Kerala,India,"Gopi Aasan, Madavoor, Margi Vijaya Kumar, Kala.BalaSubrahmanyan, Kala.RajaSekharan, Nelliyodu, Unnithan, Kannan, Shanmughan, Mukundan, etc.",Drisyavedi 20th Kerala Natyotsavam,Jawaharji K,archive2007.asp
26-12-07,Nalacharitham 1 -From start to Hamsam meeting Damayanthi.,"Karthika Thirunal Theatre, Fort, TVM",Trivandrum,Kerala,India,"Kal. Gopi- Nalan, Attl. Peethambaran- Naradan, Madavoor Vasudevan Nair- Hamsam, Kal. Shanmukhan-Damayanthi, Pathiyoor and Kal. Sajeevan- Pattu, Krishnadas- Chenda, Manoj- Maddlam","Drishyavedi, TVM, Phone.0471-2461554.",Radhakrishnan Kanjingad,archive2007.asp
26-12-07,KUCHELA VRITTAM,EROOR POTA TEMPLE - 7 PM,Ernakulam,Kerala,India,"Dr. Sabhapati(Kuchelan), FACT Ranjini(Krishnan), Pattu - Kumari Varma, Shailaja Varma, Chenda - Gopikrishnan Thampuran, Maddalam - Kala. Veneeth",Eroor Sasi,Srikumar K,archive2007.asp
